Question,Answer
Is Section 229 bailable?,"Yes, it is bailable."
Who tries the offence under Section 229?,Magistrate of the first class.
What is Section 229A about?,Failure to appear in court by a person released on bail or bond.
What is the punishment under Section 229A?,"Imprisonment up to one year, or fine, or both."
Who bears the burden of proof for absence under Section 229A?,The accused must prove sufficient cause for failure to appear.
Is Section 229A a cognizable offence?,"Yes, it is cognizable."
Is it compoundable?,"No, it is non-compoundable."
What is defined in Section 230 of IPC?,"The definition of ""coin"" and ""Indian coin."""
"How is ""coin"" defined in Section 230?","Metal used as money, stamped and issued by a State authority."
"How is ""Indian coin"" defined?",Metal stamped and issued by the Government of India for use as money.
Does metal remain Indian coin even after it ceases to be used as money?,"Yes, it continues to be Indian coin for IPC purposes."
Are cowries considered coins under Section 230?,"No, cowries are not coins."
Are medals treated as coins under IPC?,"No, because they are not intended for use as money."
What is the âCompanyâs rupeeâ classified as?,It is considered Indian coin.
Is the Farukhabad rupee Indian coin under IPC?,"Yes, though no longer used, it is still considered Indian coin."
What section follows the definition of coin?,"Section 231, which deals with counterfeiting coin."
What is the significance of Section 230?,It sets the legal foundation for offences involving counterfeit and fraud related to coins.
What is defined under Section 231 of IPC?,Counterfeiting coin.
What is the punishment under Section 231?,Imprisonment up to seven years and fine.
What does the explanation in Section 231 clarify?,Causing a genuine coin to appear like a different coin also constitutes counterfeiting.
Is the offence under Section 231 cognizable?,"Yes, it is cognizable."
Is the offence bailable or non-bailable under Section 231?,It is non-bailable.
Which court tries offences under Section 231?,Magistrate of the first class.
Can the offence under Section 231 be compounded?,"No, it is non-compoundable."
"What kind of acts fall under ""counterfeiting coin""?",Any part of the process of counterfeiting a coin with intent to deceive.
Does Section 231 apply to partial acts in the counterfeiting process?,"Yes, even partial involvement is punishable."
What is the main intent required to attract punishment under Section 231?,Intention to practice deception.
What does Section 232 of IPC deal with?,Counterfeiting Indian coin.
What is the maximum punishment under Section 232?,"Imprisonment for life, or up to ten years and fine."
How is Section 232 different from Section 231?,"Section 232 specifically deals with Indian coin, while 231 covers any coin."
Is Section 232 a cognizable offence?,"Yes, it is cognizable."
Is Section 232 bailable?,"No, it is non-bailable."
Who can try an offence under Section 232?,Court of Session.
Is the offence under Section 232 compoundable?,"No, it is non-compoundable."
What is the legal history behind the penalty in Section 232?,âTransportation for lifeâ was replaced with âimprisonment for life.â
Does the law treat counterfeiting Indian coin more seriously than other coins?,"Yes, it carries harsher penalties."
Is knowingly performing any part of the counterfeiting process punishable?,"Yes, it is equally punishable under Section 232."
What does Section 233 of IPC cover?,Making or selling instruments for counterfeiting coin.
What is the punishment under Section 233?,Imprisonment up to three years and fine.
Is Section 233 a cognizable offence?,"Yes, it is cognizable."
Is the offence bailable under Section 233?,"No, it is non-bailable."
Who can try a case under Section 233?,Magistrate of the first class.
What kinds of instruments are covered under Section 233?,Dies and other tools used for counterfeiting coins.
Is disposing of such instruments also punishable?,"Yes, making, mending, buying, selling, or disposing of them is punishable."
What intent is necessary for prosecution under Section 233?,Knowledge or belief that the instrument is for counterfeiting.
Can a person be punished for possession alone under Section 233?,"Yes, if they know or believe its intended use is counterfeiting."
Is the offence under Section 233 compoundable?,"No, it is non-compoundable."
What does Section 234 of IPC cover?,Making or selling instruments for counterfeiting Indian coin.
What is the punishment under Section 234?,Imprisonment up to 7 years and fine.
Is Section 234 a cognizable offence?,"Yes, it is cognizable."
Is Section 234 bailable or non-bailable?,It is non-bailable.
Which court has jurisdiction over Section 234 offences?,Court of Session.
Does Section 234 cover only making of instruments?,"No, it also includes mending, buying, selling, or disposing."
What must the person know to be guilty under Section 234?,That the instrument is intended to be used for counterfeiting Indian coin.
Is intent required for liability under Section 234?,"Yes, knowledge or belief about the purpose is essential."
Is Section 234 compoundable?,"No, it is non-compoundable."
Does it matter if the instrument was not actually used?,"No, mere possession or dealing with intent is punishable."
What is Section 235 of IPC about?,Possession of instrument or material for counterfeiting coin.
What is the punishment for general coin counterfeiting equipment?,Imprisonment up to 3 years and fine.
What if the coin is Indian coin under Section 235?,Imprisonment up to 10 years and fine.
Is Section 235 cognizable?,"Yes, it is cognizable."
Is the offence bailable under Section 235?,"No, it is non-bailable."
Who tries offences under Para I of Section 235?,Magistrate of the first class.
Who tries offences under Para II of Section 235?,Court of Session.
What intent is needed for conviction under Section 235?,Knowledge or belief that the tools are for counterfeiting.
Is Section 235 compoundable?,"No, it is non-compoundable."
Does actual counterfeiting need to occur for liability?,"No, possession with knowledge is sufficient."
What is the focus of Section 236 of IPC?,Abetting in India the counterfeiting of coin outside India.
How is abetment punished under Section 236?,With the same punishment as if the counterfeiting occurred in India.
Is Section 236 a cognizable offence?,"Yes, it is cognizable."
Is the offence bailable under Section 236?,"No, it is non-bailable."
Who tries offences under Section 236?,Court of Session.
Is Section 236 compoundable?,"No, it is non-compoundable."
What kind of jurisdiction does Section 236 assert?,Extraterritorial jurisdiction over abetment outside India.
Is intent required to prove offence under Section 236?,"Yes, knowledge and intent to abet counterfeiting are essential."
Does it matter if the actual counterfeiting succeeds?,"No, abetment alone is punishable."
Why is Section 236 significant in legal enforcement?,It helps prevent cross-border coin counterfeiting operations from Indian territory.
What is Section 237 of IPC about?,Import or export of counterfeit coin.
What is the punishment under Section 237?,Imprisonment up to three years and fine.
Is Section 237 cognizable?,"Yes, it is cognizable."
Is Section 237 bailable or non-bailable?,It is non-bailable.
Who tries offences under Section 237?,Magistrate of the first class.
What must be proven for conviction under Section 237?,The person knew or had reason to believe the coin was counterfeit.
Does Section 237 include export as well as import?,"Yes, both import and export of counterfeit coin are covered."
What is the classification regarding compounding of Section 237?,Non-compoundable.
Does Section 237 differentiate between Indian and foreign coin?,"No, it covers counterfeit coin in general."
Which section enhances the punishment for Indian coin specifically?,Section 238.
What is Section 238 of IPC about?,Import or export of counterfeit Indian coin.
What is the punishment under Section 238?,"Imprisonment for life or up to ten years, and fine."
Is Section 238 a cognizable offence?,"Yes, it is cognizable."
Is the offence under Section 238 bailable?,"No, it is non-bailable."
Which court tries cases under Section 238?,Court of Session.
What knowledge must the offender possess?,Knowledge or reason to believe the coin is counterfeit Indian coin.
Was any term updated in this section historically?,"Yes, âtransportation for lifeâ was replaced with âimprisonment for life.â"
What kind of coins are referenced in Section 238?,Counterfeit of Indian coin.
Is Section 238 compoundable?,"No, it is non-compoundable."
How does Section 238 compare with Section 237?,"Section 238 is stricter, focusing on Indian coin with harsher penalties."
What is addressed in Section 239 of IPC?,Delivery of coin known to be counterfeit at the time of possession.
What is the punishment under Section 239?,Imprisonment up to five years and fine.
Is the offence under Section 239 cognizable?,"Yes, it is cognizable."
Is the offence bailable under Section 239?,"No, it is non-bailable."
Which court tries offences under Section 239?,Magistrate of the first class.
What kind of intent is required under Section 239?,Fraudulent intent or intent that fraud may be committed.
What action is punishable under Section 239?,Delivery or attempt to induce acceptance of counterfeit coin.
Is Section 239 applicable only to Indian coin?,"No, it applies to any counterfeit coin."
What makes Section 240 different from 239?,Section 240 specifically deals with Indian coin.
Is Section 239 compoundable?,"No, it is non-compoundable."
What does Section 240 of IPC address?,"Delivery of Indian coin, possessed with knowledge that it is counterfeit."
What is the punishment under Section 240?,Imprisonment up to 10 years and fine.
Is the offence under Section 240 cognizable?,"Yes, it is cognizable."
Is Section 240 bailable or non-bailable?,Non-bailable.
Who tries offences under Section 240?,Court of Session.
What must the offender know at the time of possession to be guilty under Section 240?,That the coin was counterfeit Indian coin.
What intent is required under Section 240?,Fraudulent intent or intent to commit fraud.
Can someone be punished under Section 240 for attempting to induce another to accept the coin?,Yes.
Was any terminology updated in this section post-independence?,"Yes, âQueenâs coinâ was replaced with âIndian coin.â"
Is the offence compoundable under Section 240?,"No, it is non-compoundable."
What does Section 241 of IPC deal with?,"Delivery of coin as genuine, which was not known to be counterfeit when possessed."
What is the punishment under Section 241?,"Imprisonment up to 2 years, or fine up to ten times the value of the coin, or both."
Is Section 241 a cognizable offence?,"Yes, it is cognizable."
Is the offence under Section 241 bailable?,"Yes, it is bailable."
Who tries cases under Section 241?,Any Magistrate.
What changes liability under Section 241 from innocent possession to a punishable offence?,Delivering the coin as genuine after learning it is counterfeit.
Is fraudulent intent required under Section 241?,"No, knowledge of falsity at time of delivery suffices."
Can the offence under Section 241 be compounded?,"No, it is non-compoundable."
Is there any illustration provided in Section 241?,"Yes, an example involving a chain of possession ending with a person delivering a coin known to be counterfeit."
How does Section 241 differ from Section 240?,Section 241 deals with coins unknowingly acquired as genuine but later delivered as genuine after discovering they are counterfeit.
What is addressed in Section 242 of IPC?,Possession of counterfeit coin by a person who knew it to be counterfeit when acquired.
What is the punishment under Section 242?,Imprisonment up to 3 years and fine.
Is the offence under Section 242 cognizable?,"Yes, it is cognizable."
Is the offence bailable under Section 242?,"No, it is non-bailable."
Who is authorized to try Section 242 cases?,Magistrate of the first class.
What intent must the offender have under Section 242?,Fraudulent intent or intent that fraud may be committed.
Is actual fraud necessary for liability under Section 242?,"No, possession with fraudulent intent suffices."
Does Section 242 require the coin to be Indian?,"No, it applies to counterfeit coins in general."
Is the offence under Section 242 compoundable?,"No, it is non-compoundable."
What is the critical element at the time of acquisition under Section 242?,The offender must have known the coin was counterfeit when they acquired it.
What is the punishment for delivering counterfeit Indian coin knowingly?,Imprisonment up to ten years and a fine.
What section of IPC deals with delivering counterfeit Indian coin knowingly?,Section 240.
What is the punishment for delivering as genuine a counterfeit coin not known to be counterfeit when possessed?,"Imprisonment up to two years, or fine up to ten times the value of the coin, or both."
Under what section is delivering counterfeit coin without prior knowledge of its falsity covered?,Section 241.
What is an illustration of Section 241 regarding counterfeit coins?,A person who unknowingly receives counterfeit coins and later discovers and uses them as genuine is punishable under Section 241.
What is the punishment under Section 242 for possession of counterfeit coin with knowledge of its falsity?,Imprisonment up to three years and a fine.
Which section covers the possession of counterfeit Indian coin with prior knowledge?,Section 243.
What is the punishment under Section 243 of IPC?,Imprisonment up to seven years and a fine.
What does Section 243 specify about the type of counterfeit coin?,It specifically refers to Indian coin.
What is the classification of the offence under Section 243?,"Cognizable, non-bailable, triable by Magistrate of the first class, and non-compoundable."
Who is punished under Section 244 of IPC?,A person employed in a mint who causes coin to differ in weight or composition from legal standards.
What is the punishment under Section 244?,Imprisonment up to seven years and a fine.
What offence does Section 245 deal with?,Unlawfully taking a coining instrument from a mint.
What is the penalty for taking a coining tool unlawfully under Section 245?,Imprisonment up to seven years and a fine.
What does Section 246 prohibit?,Fraudulently or dishonestly altering the weight or composition of any coin.
What is the punishment under Section 246?,Imprisonment up to three years and a fine.
What additional explanation is given under Section 246?,Scooping part of a coin and replacing it with another substance constitutes altering its composition.
How does Section 247 differ from 246?,"Section 247 specifically addresses Indian coin, while Section 246 applies to any coin."
What is the punishment under Section 247?,Imprisonment up to seven years and a fine.
Which section deals with altering the appearance of a coin to pass as a different denomination?,Section 248.
What act is criminalized under Section 248?,Altering the appearance of a coin to make it pass as a coin of a different description.
What is the punishment for altering a coin under Section 248?,Imprisonment up to three years and a fine.
What does Section 249 prohibit?,Altering appearance of Indian coin with intent to pass it as a different coin.
How does IPC define the intent behind offences in Sections 248 and 249?,The intent must be to pass the altered coin as a different denomination or type.
Under which section is making or selling instruments for counterfeiting coin punishable?,Section 250.
What is the punishment under Section 250?,Imprisonment up to three years and a fine.
What type of tools are considered under Section 250?,Instruments or materials used for counterfeiting coins.
Does Section 250 apply to Indian coins only?,"No, it applies to instruments for counterfeiting any coin."
What is a key requirement for an offence under Section 250?,Intent that the tool shall be used for counterfeiting.
What is the classification of offences under Sections 248 to 250?,"Cognizable, non-bailable, triable by Magistrate of the first class, and non-compoundable."
What is Section 100 of IPC about?,It describes when the right of private defence of the body extends to causing death.
Under what conditions can a person cause death in self-defence according to Section 100?,"When the assault may cause apprehension of death, grievous hurt, rape, unnatural lust, kidnapping, wrongful confinement, or acid attack."
Can a person exercise right of private defence against a public servant?,"Yes, unless the person knows or has reason to believe that the act was done by a public servant."
What is Explanation 1 to the right of private defence?,A person retains the right of private defence unless they know the act was done by a public servant.
What is Explanation 2 to the right of private defence?,Right is retained unless the person knows the act was done under the direction of a public servant and the authority is stated or produced when demanded.
What is a notable case related to the right of private defence and medical evidence?,Chuhar Singh v. State of Punjab.
Which case upheld the right of private defence against intruders?,Kishore Shambhudatta Mishra v. State of Maharashtra.
What case stated that the accused exceeded the right of private defence?,Suresh Singh v. State.
What if a person is chased and retaliates fatally?,"The act may be deemed as exceeding private defence, leading to conviction under Section 304 Part I."
What legal classification is associated with acts under Section 100?,It allows voluntary causing of death under serious threats to life or safety.
What does Section 101 of IPC cover?,When the right of private defence extends to causing harm other than death.
When does the right of private defence of the body commence under Section 102?,As soon as there's reasonable apprehension of danger from an attempt or threat.
What is the scope of Section 103 IPC?,It defines when private defence of property extends to causing death.
What offences justify causing death in defence of property under Section 103?,"Robbery, house-breaking by night, and mischief by fire on a dwelling."
What distinguishes Section 101 from Section 100?,Section 101 permits causing harm but not death when the threat is less severe.
Is the continuance of right to defence limited in time?,"No, it continues as long as apprehension of danger exists."
Can one kill a thief under private defence of property?,Only under specific circumstances like robbery or night house-breaking.
What condition must exist to invoke defence of property with lethal force?,The act must threaten life or serious harm as per Section 103.
What is the underlying principle of Section 102?,Prevention before actual harm when danger is apprehended.
What is not permitted under Section 101?,Voluntary causing of death unless the case falls under Section 100.
What is the punishment under Section 252 IPC?,Imprisonment up to three years and a fine.
What offence does Section 252 relate to?,Possession of coin known to be altered when acquired.
How is Section 253 different from Section 252?,Section 253 applies to Indian coins and carries a higher penaltyâup to five years.
What is Section 254 about?,Delivering coin as genuine when not known to be altered at the time of possession.
What is the maximum punishment under Section 254?,Imprisonment up to two years or fine up to ten times the coin's value.
What offence is covered in Section 255?,Counterfeiting government revenue stamps.
What is the punishment for counterfeiting a government stamp?,Life imprisonment or imprisonment up to 10 years and a fine.
What does the explanation to Section 255 clarify?,Changing a genuine stamp to appear as one of different denomination is also counterfeiting.
What is Section 256 concerned with?,Possession of tools or materials for counterfeiting government stamps.
What penalty does Section 256 impose?,Imprisonment up to 7 years and a fine.
What is the offence under Section 249 IPC?,Altering the appearance of Indian coin with the intent to pass it as a coin of a different description.
What is the punishment for altering the appearance of Indian coin under Section 249?,Imprisonment up to 7 years and a fine.
What is the classification of offence under Section 249?,"Cognizable, non-bailable, triable by Magistrate of the first class, non-compoundable."
What act is criminalized under Section 250 IPC?,"Delivery of coin, possessed with knowledge that it is altered."
What is the maximum punishment under Section 250?,Imprisonment up to 5 years and a fine.
Which sections' offences relate to the coin mentioned in Section 250?,Sections 246 and 248.
What does Section 251 deal with?,Delivery of Indian coin possessed with knowledge that it is altered.
What is the punishment under Section 251 IPC?,Imprisonment up to 10 years and a fine.
What type of coin does Section 251 specifically refer to?,Indian coin.
What court triable classification is given under Section 251?,Triable by Court of Session.
What offence is covered under Section 252 IPC?,Possession of coin known to be altered at the time of acquisition.
What is the punishment under Section 252?,Imprisonment up to 3 years and a fine.
Is the offence under Section 252 cognizable or non-cognizable?,Cognizable.
What is Section 253 concerned with?,Possession of Indian coin known to be altered at the time of possession.
What is the punishment under Section 253?,Imprisonment up to 5 years and a fine.
What is the difference between Section 252 and Section 253?,Section 253 applies specifically to Indian coin and prescribes a higher punishment.
What does Section 254 criminalize?,"Delivery of a coin as genuine, which was not known to be altered when first acquired."
What is the penalty under Section 254?,Imprisonment up to 2 years or fine up to ten times the coin's value.
What offence is addressed in Section 255 IPC?,Counterfeiting of Government stamps.
What is the maximum punishment under Section 255?,Life imprisonment or 10 years imprisonment and a fine.
What is the main offence under Section 256 IPC?,Possession of instruments or materials intended for counterfeiting Government stamps.
What is the punishment under Section 256?,Imprisonment up to 7 years and a fine.
How is Section 257 different from Section 256?,"Section 257 covers making or selling instruments for counterfeiting, whereas Section 256 is about possession."
What is the punishment under Section 257 IPC?,Imprisonment up to 7 years and a fine.
What type of offence does Section 257 deal with?,"Making, buying, selling, or disposing of instruments for counterfeiting revenue stamps."
Who is liable under Section 256?,Any person possessing instruments or materials for use in counterfeiting Government revenue stamps.
What is the classification of offences under Sections 256 and 257?,"Cognizable, non-bailable, triable by Magistrate of the first class, non-compoundable."
Does Section 257 require knowledge or belief about intended use?,"Yes, the person must know or have reason to believe the instruments are intended for counterfeiting."
What kind of stamps are referred to in Section 255 to 257?,Government-issued stamps for revenue purposes.
Which court handles cases under Section 255?,Court of Session.
What is Section 252 of the IPC about?,Possession of coin by a person who knew it to be altered when he became possessed of it.
What is the punishment under Section 252?,Imprisonment up to 3 years and a fine.
Under what sections must the offence be committed for Section 252 to apply?,Section 246 or Section 248.
What is the classification of offence under Section 252?,"Cognizable, non-bailable, triable by Magistrate of the first class, non-compoundable."
What is the key element of guilt under Section 252?,Knowledge of the alteration at the time of acquiring the coin.
Is fraud a necessary condition in Section 252?,"Yes, the possession must be fraudulent or with intent to commit fraud."
What is Section 253 of the IPC about?,Possession of Indian coin by a person who knew it to be altered when he became possessed of it.
What is the punishment under Section 253?,Imprisonment up to 5 years and a fine.
What specific type of coin is referenced in Section 253?,Indian coin.
Which sectionsâ offences are linked to Section 253?,Sections 247 or 249.
Is the offence under Section 253 cognizable or non-cognizable?,Cognizable.
Who tries offences under Section 253?,Magistrate of the first class.
What is Section 254 of IPC concerned with?,"Delivery of a coin as genuine, which when first possessed, the deliverer did not know to be altered."
What is the maximum punishment under Section 254?,Two years imprisonment or fine up to ten times the value of the coin.
What intent must be present for Section 254 to apply?,Knowledge of the coin being altered at the time of delivery.
Does Section 254 cover attempts as well?,"Yes, attempts to induce someone to accept the coin are included."
What sections does Section 254 reference for altered coin operations?,"Sections 246, 247, 248, and 249."
Is Section 254 triable by any Magistrate?,"Yes, it is triable by any Magistrate."
What is the offence under Section 255 of IPC?,Counterfeiting a government-issued revenue stamp.
What is the punishment for counterfeiting a government stamp under Section 255?,Life imprisonment or imprisonment up to 10 years and a fine.
What does the explanation to Section 255 clarify?,Altering a genuine stamp to appear as another denomination is also counterfeiting.
What is the classification of the offence under Section 255?,"Cognizable, non-bailable, triable by Court of Session, non-compoundable."
Does performing any part of the counterfeiting process count under this section?,"Yes, knowingly performing any part of the process qualifies."
What is the intent behind counterfeiting considered under this section?,Fraudulent intent to defraud through false government stamps.
What is described in Section 256 of IPC?,Possession of instrument or material for counterfeiting Government stamps.
What punishment does Section 256 prescribe?,Imprisonment up to 7 years and a fine.
What intent must exist under Section 256?,The person must know or have reason to believe the tools are meant for counterfeiting.
What classification is assigned to Section 256 offences?,"Cognizable, non-bailable, triable by Magistrate of the first class, non-compoundable."
Is mere possession of the tools sufficient for conviction under Section 256?,"Yes, if it is with knowledge or intent to counterfeit."
What kind of stamps does Section 256 refer to?,Government-issued stamps for revenue purposes.
What is the offence under Section 257 IPC?,Making or selling instruments for counterfeiting Government stamps.
What punishment does Section 257 prescribe?,Imprisonment up to 7 years and a fine.
Who is liable under Section 257?,"Anyone who makes, sells, or disposes of instruments meant for counterfeiting stamps."
Is the offence under Section 257 cognizable?,"Yes, it is cognizable and non-bailable."
Which authority can try a case under Section 257?,Magistrate of the first class.
Does intent play a role in offences under Section 257?,"Yes, the person must know or believe the tool is intended for counterfeiting."
What is the focus of Section 258 IPC?,Sale or offering for sale of counterfeit Government revenue stamps.
What is the punishment under Section 258?,Imprisonment up to 7 years and a fine.
What mental state must accompany the sale in Section 258?,Knowledge or belief that the stamp is counterfeit.
What is the classification of the offence under Section 258?,"Cognizable, non-bailable, triable by Magistrate of the first class."
What does Section 259 deal with?,Possession of counterfeit Government revenue stamps with intent to use or dispose.
What is the punishment under Section 259 IPC?,Imprisonment up to 7 years and a fine.
What is the offence under Section 260 IPC?,Using as genuine a stamp known to be counterfeit.
What is the maximum punishment under Section 260?,"Imprisonment up to 7 years, or fine, or both."
Is Section 260 triable by any Magistrate?,"No, it is triable by a Magistrate of the first class."
What is covered under Section 261 IPC?,Effacing writing from a stamp or removing a used stamp to cause Government loss.
What is the penalty under Section 261?,"Imprisonment up to 3 years, or fine, or both."
Is the offence under Section 261 bailable?,"Yes, it is bailable."
What act is criminalized under Section 262 IPC?,Using a Government stamp known to have been previously used.
What is the punishment under Section 262?,"Imprisonment up to 2 years, or fine, or both."
What intent must exist under Section 262?,Fraudulent intent or intent to cause loss to the Government.
Is the offence under Section 262 cognizable?,"Yes, it is cognizable and bailable."
What does Section 263 address?,Erasing or removing a mark from a stamp denoting it has been used.
What penalty is provided under Section 263 IPC?,"Imprisonment up to 3 years, or fine, or both."
What is the offence under Section 264 IPC?,Fraudulently affixing to goods any counterfeit mark intended to deceive.
What is the punishment for the offence under Section 264?,"Imprisonment up to 3 years, or fine, or both."
Who is punished under Section 265 IPC?,Anyone who uses a false instrument purporting to be a weight or measure.
What does Section 266 penalize?,Being in possession of a false weight or measure for fraudulent use.
Is mere possession punishable under Section 266?,"Yes, if there is intent to use it fraudulently."
What court tries offences under Sections 264 to 266?,Magistrate of the first class.
What does Section 262 of IPC deal with?,Using a Government stamp known to have been previously used.
What is the punishment under Section 262?,"Imprisonment up to 2 years, or fine, or both."
What intent is necessary for an offence under Section 262?,Fraudulent intent or intent to cause loss to the Government.
What does Section 263 cover?,Erasing or removing a mark that denotes a stamp has been used.
What is the punishment under Section 263 IPC?,"Imprisonment up to 3 years, or fine, or both."
What action constitutes a crime under Section 263?,"Possession, sale, or disposal of a used stamp with erased mark."
What is Section 263A about?,Prohibition of fictitious stamps.
What is the penalty under Section 263A?,Fine up to 200 rupees.
What are fictitious stamps defined as in Section 263A?,Stamps falsely purporting to be issued by the Government.
Who can be punished under Section 263A?,"Anyone making, dealing in, selling, or possessing fictitious stamps or tools to make them."
Are fictitious stamps considered Government stamps in Section 263A?,"Yes, including those from foreign countries and dominions."
Is the offence under Section 263A compoundable?,"No, it is non-compoundable."
What offence is described in Section 264 IPC?,Fraudulent use of a false weighing instrument.
What is the punishment for violating Section 264?,"Imprisonment up to 1 year, or fine, or both."
Is the offence under Section 264 bailable?,"Yes, it is bailable."
What is required to prove guilt under Section 264?,Knowledge that the instrument used is false.
Who tries cases under Section 264?,Any Magistrate.
Is the offence under Section 264 compoundable?,"No, it is non-compoundable."
What is Section 265 IPC about?,Fraudulent use of false weights or measures.
What is the punishment for this offence?,"Imprisonment up to 1 year, or fine, or both."
What kinds of measures are included under Section 265?,"Weights, lengths, and capacity measures."
What is the nature of the offence under Section 265?,"Non-cognizable, bailable, and non-compoundable."
Who can try this offence?,Any Magistrate.
What is essential to prove under Section 265?,Fraudulent intent and knowledge of falsity.
What offence does Section 266 IPC define?,Possession of false weights or measures with intent to use fraudulently.
What is the maximum punishment under Section 266?,"Imprisonment up to 1 year, or fine, or both."
What type of offence is defined in Section 266?,"Non-cognizable, bailable, and non-compoundable."
Who is the competent authority to try Section 266 offences?,Any Magistrate.
What must be proven for conviction under Section 266?,Knowledge of falsity and intention for fraudulent use.
Are attempts to use the instruments also punishable under this section?,"No, only possession with intent is punishable."
What is the focus of Section 267 IPC?,Making or selling false weights or measures.
What punishment does Section 267 prescribe?,"Imprisonment up to 1 year, or fine, or both."
What is necessary to be liable under Section 267?,Knowledge that the weight or measure is false.
Is the offence under Section 267 bailable?,"Yes, it is bailable."
What is the trial court for Section 267?,Any Magistrate.
What classification does this offence fall under?,Non-cognizable and non-compoundable.
What does Section 268 IPC define?,Public nuisance.
What is public nuisance according to Section 268?,"An act causing common injury, danger, or annoyance to the public."
Is intention necessary to constitute a public nuisance?,"No, even unlawful omission can amount to public nuisance."
What is an example of public nuisance?,Blocking a public road causing inconvenience to the general public.
Does public nuisance require specific injury to an individual?,"No, it affects the public at large or a section of it."
Can legal action be taken without personal harm?,"Yes, if the act affects public rights or safety."
What offence is dealt with in Section 269 IPC?,Negligent act likely to spread infection of disease dangerous to life.
What is the punishment for Section 269?,"Imprisonment up to 6 months, or fine, or both."
What is required to be proven under Section 269?,Knowledge and negligence.
Is Section 269 a cognizable offence?,"Yes, it is cognizable and bailable."
Who tries Section 269 offences?,Any Magistrate.
What example would fall under Section 269?,A person with a contagious disease attending a crowded event negligently.
What does Section 270 IPC criminalize?,Malignant act likely to spread infection of disease dangerous to life.
What punishment is prescribed in Section 270?,"Imprisonment up to 2 years, or fine, or both."
What is the difference between Section 269 and 270?,"Section 270 involves malignant (intentional) conduct, while Section 269 involves negligence."
Is Section 270 cognizable and bailable?,"Yes, both."
Can Section 270 be compounded?,"No, it is non-compoundable."
What is an example of a malignant act?,Intentionally spitting in a public place while infected with a contagious disease.
What offence is defined in Section 271 IPC?,Disobedience to quarantine rule.
What punishment is stated in Section 271?,"Imprisonment up to 6 months, or fine, or both."
Who is empowered to try offences under Section 271?,Any Magistrate.
What is the nature of the offence under Section 271?,Cognizable and bailable.
Is intent necessary under Section 271?,"Yes, disobedience must be intentional."
Can violation of public health regulations fall under this section?,"Yes, especially during epidemics or pandemic outbreaks."
What offence does Section 272 IPC define?,Adulteration of food or drink intended for sale to make it harmful.
What is the punishment under Section 272?,"Imprisonment up to 6 months, or fine up to â¹1000, or both."
What is the classification of offence under Section 272?,"Non-cognizable, bailable, triable by any Magistrate, non-compoundable."
Which states have stricter punishments under Section 272?,"Orissa, Uttar Pradesh, and West Bengalâpunishment up to life imprisonment."
What must be proven for conviction under this section?,Intent to sell adulterated item or knowledge that it will be sold.
What does Section 273 of IPC criminalize?,Selling noxious food or drink unfit for consumption.
What punishment is prescribed under Section 273?,"Imprisonment up to 6 months, or fine up to â¹1000, or both."
Is Section 273 cognizable or non-cognizable?,Non-cognizable.
Who tries offences under Section 273?,Any Magistrate.
What must the seller know for liability under this section?,That the food or drink is noxious or unfit for sale.
What offence does Section 274 IPC cover?,Adulteration of drugs or medical preparations to lessen efficacy or make them noxious.
What is the punishment for Section 274 offences?,"Imprisonment up to 6 months, or fine up to â¹1000, or both."
Is the offence under Section 274 bailable?,"No, it is non-bailable."
What classification does this offence fall under?,"Non-cognizable, triable by any Magistrate."
What intent is required under this section?,Intent to sell or knowledge of likely sale/use.
What is criminalized under Section 275?,Sale or distribution of adulterated drugs known to be harmful.
What is the punishment under Section 275 IPC?,"Imprisonment up to 6 months, or fine up to â¹1000, or both."
Is this offence cognizable?,"No, it is non-cognizable."
What is the nature of bail for this section?,Bailable.
What additional element does Section 275 require?,Knowledge of adulteration and intent to pass it off as unadulterated.
What does Section 276 IPC define?,Selling a drug as another drug.
What is the punishment under Section 276?,"Imprisonment up to 6 months, or fine up to â¹1000, or both."
What is the key requirement of guilt?,Knowledge that the drug sold is different from what is claimed.
Is this offence bailable?,Yes.
Who can try offences under this section?,Any Magistrate.
What does Section 277 penalize?,Corrupting or fouling public water sources.
What punishment is prescribed?,"Imprisonment up to 3 months, or fine up to â¹500, or both."
Is this a cognizable offence?,Yes.
What must be proven for conviction under Section 277?,Voluntary act of fouling water.
What is the offence under Section 278?,Voluntarily vitiating the atmosphere making it harmful to health.
What punishment is prescribed?,Fine up to â¹500.
Is it a bailable offence?,Yes.
Who is the competent authority to try this offence?,Any Magistrate.
What does Section 279 IPC prohibit?,Rash or negligent driving endangering life on public roads.
What is the punishment?,"Imprisonment up to 6 months, or fine up to â¹1000, or both."
Is this a cognizable offence?,Yes.
What kind of negligence is covered?,Rash driving likely to injure or endanger others.
What is criminalized in Section 280 IPC?,Rash or negligent navigation of a vessel that endangers life.
What punishment does it carry?,"Imprisonment up to 6 months, or fine up to â¹1000, or both."
Is this bailable?,Yes.
Who tries the offence under Section 280?,Any Magistrate.
What is the offence under Section 281 IPC?,"Exhibiting false lights, marks, or buoys likely to mislead navigators."
What is the punishment under Section 281?,"Imprisonment up to 7 years, or fine, or both."
What intent is necessary for this offence?,Intention or knowledge that it may mislead a navigator.
What danger does this offence present?,Maritime hazards from misleading signals.
What does Section 282 of IPC prohibit?,Conveying a person by water in an unsafe or overloaded vessel.
